cycle	depth	nb_image	juld	nb_object	conc_object	PhaseName	wmo	date	lat	lon
11	274.8999938964844	200	26759.33181712963	1	0.007142857142857143	NPAR	4903657	2023-04-07T07:57:49Z	-53.18946833333333	68.92919566666666
11	264.8999938964844	218	26759.333217592593	1	0.006553079947575361	NPAR	4903657	2023-04-07T07:59:50Z	-53.18946833333333	68.92919566666666
11	255.1999969482422	206	26759.33462962963	0	0	NPAR	4903657	2023-04-07T08:01:52Z	-53.18946833333333	68.92919566666666
11	245	192	26759.33596064815	2	0.014880952380952384	NPAR	4903657	2023-04-07T08:03:47Z	-53.18946833333333	68.92919566666666
11	235	192	26759.337268518517	1	0.007440476190476192	NPAR	4903657	2023-04-07T08:05:40Z	-53.18946833333333	68.92919566666666
11	224.89999389648438	204	26759.33861111111	3	0.02100840336134454	NPAR	4903657	2023-04-07T08:07:36Z	-53.18946833333333	68.92919566666666
11	215	200	26759.339965277777	5	0.03571428571428571	NPAR	4903657	2023-04-07T08:09:33Z	-53.18946833333333	68.92919566666666
11	204.89999389648438	216	26759.341342592594	0	0	NPAR	4903657	2023-04-07T08:11:32Z	-53.18946833333333	68.92919566666666
11	195.1999969482422	202	26759.342708333334	0	0	NPAR	4903657	2023-04-07T08:13:30Z	-53.18946833333333	68.92919566666666
11	184.89999389648438	178	26759.343946759258	0	0	NPAR	4903657	2023-04-07T08:15:17Z	-53.18946833333333	68.92919566666666
11	175	180	26759.345104166667	0	0	NPAR	4903657	2023-04-07T08:16:57Z	-53.18946833333333	68.92919566666666
11	164.89999389648438	200	26759.34630787037	0	0	NPAR	4903657	2023-04-07T08:18:41Z	-53.18946833333333	68.92919566666666
11	154.8000030517578	212	26759.347604166665	0	0	NPAR	4903657	2023-04-07T08:20:33Z	-53.18946833333333	68.92919566666666
11	144.6999969482422	246	26759.34902777778	0	0	NPAR	4903657	2023-04-07T08:22:36Z	-53.18946833333333	68.92919566666666
11	134.8000030517578	242	26759.350555555557	0	0	NPAR	4903657	2023-04-07T08:24:48Z	-53.18946833333333	68.92919566666666
11	125.19999694824219	206	26759.351967592593	0	0	NPAR	4903657	2023-04-07T08:26:50Z	-53.18946833333333	68.92919566666666
11	115.30000305175781	174	26759.353171296298	1	0.008210180623973728	NPAR	4903657	2023-04-07T08:28:34Z	-53.18946833333333	68.92919566666666
11	105.0999984741211	158	26759.354212962964	0	0	NPAR	4903657	2023-04-07T08:30:04Z	-53.18946833333333	68.92919566666666
11	98	54	26759.354872685184	0	0	NPAR	4903657	2023-04-07T08:31:01Z	-53.18946833333333	68.92919566666666
11	93.5	78	26759.355289351854	0	0	NPAR	4903657	2023-04-07T08:31:37Z	-53.18946833333333	68.92919566666666
11	88.5	70	26759.355752314816	0	0	NPAR	4903657	2023-04-07T08:32:17Z	-53.18946833333333	68.92919566666666
11	83.5	78	26759.356215277778	0	0	NPAR	4903657	2023-04-07T08:32:57Z	-53.18946833333333	68.92919566666666
11	78.5	84	26759.356724537036	0	0	NPAR	4903657	2023-04-07T08:33:41Z	-53.18946833333333	68.92919566666666
11	73.4000015258789	78	26759.357233796298	0	0	NPAR	4903657	2023-04-07T08:34:25Z	-53.18946833333333	68.92919566666666
11	68.4000015258789	86	26759.357743055556	0	0	NPAR	4903657	2023-04-07T08:35:09Z	-53.18946833333333	68.92919566666666
11	63.5	88	26759.358287037037	0	0	NPAR	4903657	2023-04-07T08:35:56Z	-53.18946833333333	68.92919566666666
11	58.5	98	26759.35886574074	0	0	NPAR	4903657	2023-04-07T08:36:46Z	-53.18946833333333	68.92919566666666
11	53.5	84	26759.35943287037	0	0	NPAR	4903657	2023-04-07T08:37:35Z	-53.18946833333333	68.92919566666666
11	48.5	78	26759.35994212963	0	0	NPAR	4903657	2023-04-07T08:38:19Z	-53.18946833333333	68.92919566666666
11	43.5	78	26759.36042824074	0	0	NPAR	4903657	2023-04-07T08:39:01Z	-53.18946833333333	68.92919566666666
11	38.20000076293945	84	26759.360949074075	0	0	NPAR	4903657	2023-04-07T08:39:46Z	-53.18946833333333	68.92919566666666
11	33.400001525878906	86	26759.361469907406	0	0	NPAR	4903657	2023-04-07T08:40:31Z	-53.18946833333333	68.92919566666666
11	28.200000762939453	90	26759.362025462964	0	0	NPAR	4903657	2023-04-07T08:41:19Z	-53.18946833333333	68.92919566666666
11	23.200000762939453	160	26759.3628125	0	0	NPAR	4903657	2023-04-07T08:42:27Z	-53.18946833333333	68.92919566666666
11	18.700000762939453	118	26759.363680555554	0	0	NPAR	4903657	2023-04-07T08:43:42Z	-53.18946833333333	68.92919566666666
11	13.5	124	26759.364444444444	1	0.01152073732718894	NPAR	4903657	2023-04-07T08:44:48Z	-53.18946833333333	68.92919566666666
11	8.600000381469727	106	26759.36517361111	0	0	NPAR	4903657	2023-04-07T08:45:51Z	-53.18946833333333	68.92919566666666
11	3.5999999046325684	94	26759.365810185187	0	0	NPAR	4903657	2023-04-07T08:46:46Z	-53.18946833333333	68.92919566666666
11	0.800000011920929	6	26759.36613425926	0	0	NPAR	4903657	2023-04-07T08:47:14Z	-53.18946833333333	68.92919566666666
11	3.9000000953674316	120	26759.368703703705	0	0	NPAR	4903657	2023-04-07T08:50:56Z	-53.18946833333333	68.92919566666666
11	6.099999904632568	62	26759.369293981483	0	0	NPAR	4903657	2023-04-07T08:51:47Z	-53.18946833333333	68.92919566666666
11	3.299999952316284	136	26759.36991898148	0	0	NPAR	4903657	2023-04-07T08:52:41Z	-53.18946833333333	68.92919566666666
11	0.800000011920929	10	26759.37162037037	0	0	NPAR	4903657	2023-04-07T08:55:08Z	-53.18946833333333	68.92919566666666
11	1.7999999523162842	76	26759.373148148148	0	0	NPAR	4903657	2023-04-07T08:57:20Z	-53.18946833333333	68.92919566666666
12	183.3000030517578	20	26759.518425925926	0	0	PAR	4903657	2023-04-07T12:26:32Z	-53.14275233333333	69.09846616666667
12	183.3000030517578	20	26759.528854166667	0	0	PAR	4903657	2023-04-07T12:41:33Z	-53.14275233333333	69.09846616666667
12	256.3999938964844	20	26759.539259259258	0	0	PAR	4903657	2023-04-07T12:56:32Z	-53.14275233333333	69.09846616666667
12	256.3999938964844	20	26759.549675925926	0	0	PAR	4903657	2023-04-07T13:11:32Z	-53.14275233333333	69.09846616666667
12	256.3999938964844	20	26759.560092592594	0	0	PAR	4903657	2023-04-07T13:26:32Z	-53.14275233333333	69.09846616666667
12	256.3999938964844	20	26759.570497685185	0	0	PAR	4903657	2023-04-07T13:41:31Z	-53.14275233333333	69.09846616666667
12	218.39999389648438	20	26759.580914351853	0	0	PAR	4903657	2023-04-07T13:56:31Z	-53.14275233333333	69.09846616666667
12	218.39999389648438	20	26759.591342592594	0	0	PAR	4903657	2023-04-07T14:11:32Z	-53.14275233333333	69.09846616666667
12	218.39999389648438	20	26759.601782407408	0	0	PAR	4903657	2023-04-07T14:26:34Z	-53.14275233333333	69.09846616666667
12	218.39999389648438	20	26759.6121875	0	0	PAR	4903657	2023-04-07T14:41:33Z	-53.14275233333333	69.09846616666667
12	223.5	20	26759.622604166667	0	0	PAR	4903657	2023-04-07T14:56:33Z	-53.14275233333333	69.09846616666667
12	223.5	20	26759.633009259258	0	0	PAR	4903657	2023-04-07T15:11:32Z	-53.14275233333333	69.09846616666667
12	223.5	20	26759.643425925926	0	0	PAR	4903657	2023-04-07T15:26:32Z	-53.14275233333333	69.09846616666667
12	223.5	20	26759.653842592594	0	0	PAR	4903657	2023-04-07T15:41:32Z	-53.14275233333333	69.09846616666667
12	226.6999969482422	20	26759.664270833335	0	0	PAR	4903657	2023-04-07T15:56:33Z	-53.14275233333333	69.09846616666667
12	226.6999969482422	20	26759.674664351853	0	0	PAR	4903657	2023-04-07T16:11:31Z	-53.14275233333333	69.09846616666667
12	226.6999969482422	20	26759.685081018517	0	0	PAR	4903657	2023-04-07T16:26:31Z	-53.14275233333333	69.09846616666667
12	226.6999969482422	20	26759.695497685185	0	0	PAR	4903657	2023-04-07T16:41:31Z	-53.14275233333333	69.09846616666667
12	226.39999389648438	20	26759.705914351853	0	0	PAR	4903657	2023-04-07T16:56:31Z	-53.14275233333333	69.09846616666667
12	226.39999389648438	20	26759.716342592594	0	0	PAR	4903657	2023-04-07T17:11:32Z	-53.14275233333333	69.09846616666667
12	226.39999389648438	20	26759.726759259258	0	0	PAR	4903657	2023-04-07T17:26:32Z	-53.14275233333333	69.09846616666667
12	226.39999389648438	20	26759.737175925926	0	0	PAR	4903657	2023-04-07T17:41:32Z	-53.14275233333333	69.09846616666667
12	228.3000030517578	20	26759.747592592594	0	0	PAR	4903657	2023-04-07T17:56:32Z	-53.14275233333333	69.09846616666667
12	228.3000030517578	20	26759.758009259258	0	0	PAR	4903657	2023-04-07T18:11:32Z	-53.14275233333333	69.09846616666667
12	228.3000030517578	20	26759.768414351853	0	0	PAR	4903657	2023-04-07T18:26:31Z	-53.14275233333333	69.09846616666667
12	228.3000030517578	20	26759.778831018517	0	0	PAR	4903657	2023-04-07T18:41:31Z	-53.14275233333333	69.09846616666667
12	228.6999969482422	20	26759.789247685185	0	0	PAR	4903657	2023-04-07T18:56:31Z	-53.14275233333333	69.09846616666667
12	228.6999969482422	20	26759.799675925926	0	0	PAR	4903657	2023-04-07T19:11:32Z	-53.14275233333333	69.09846616666667
12	228.6999969482422	20	26759.810092592594	0	0	PAR	4903657	2023-04-07T19:26:32Z	-53.14275233333333	69.09846616666667
12	228.6999969482422	20	26759.820509259258	0	0	PAR	4903657	2023-04-07T19:41:32Z	-53.14275233333333	69.09846616666667
12	228.39999389648438	20	26759.830925925926	0	0	PAR	4903657	2023-04-07T19:56:32Z	-53.14275233333333	69.09846616666667
12	228.39999389648438	20	26759.841342592594	0	0	PAR	4903657	2023-04-07T20:11:32Z	-53.14275233333333	69.09846616666667
12	228.39999389648438	20	26759.851759259258	0	0	PAR	4903657	2023-04-07T20:26:32Z	-53.14275233333333	69.09846616666667
12	228.39999389648438	20	26759.862175925926	0	0	PAR	4903657	2023-04-07T20:41:32Z	-53.14275233333333	69.09846616666667
12	226.60000610351562	20	26759.872592592594	0	0	PAR	4903657	2023-04-07T20:56:32Z	-53.14275233333333	69.09846616666667
12	226.60000610351562	20	26759.883009259258	0	0	PAR	4903657	2023-04-07T21:11:32Z	-53.14275233333333	69.09846616666667
12	226.60000610351562	20	26759.893414351853	0	0	PAR	4903657	2023-04-07T21:26:31Z	-53.14275233333333	69.09846616666667
12	226.60000610351562	20	26759.903831018517	0	0	PAR	4903657	2023-04-07T21:41:31Z	-53.14275233333333	69.09846616666667
12	224.5	20	26759.914259259258	0	0	PAR	4903657	2023-04-07T21:56:32Z	-53.14275233333333	69.09846616666667
12	224.5	20	26759.924675925926	0	0	PAR	4903657	2023-04-07T22:11:32Z	-53.14275233333333	69.09846616666667
12	224.5	20	26759.935092592594	0	0	PAR	4903657	2023-04-07T22:26:32Z	-53.14275233333333	69.09846616666667
12	224.5	20	26759.945509259258	0	0	PAR	4903657	2023-04-07T22:41:32Z	-53.14275233333333	69.09846616666667
12	223.5	20	26759.955925925926	0	0	PAR	4903657	2023-04-07T22:56:32Z	-53.14275233333333	69.09846616666667
12	223.5	20	26759.966331018517	0	0	PAR	4903657	2023-04-07T23:11:31Z	-53.14275233333333	69.09846616666667
12	223.5	20	26759.976747685185	0	0	PAR	4903657	2023-04-07T23:26:31Z	-53.14275233333333	69.09846616666667
12	223.5	20	26759.987175925926	0	0	PAR	4903657	2023-04-07T23:41:32Z	-53.14275233333333	69.09846616666667
12	222.5	20	26759.997592592594	0	0	PAR	4903657	2023-04-07T23:56:32Z	-53.14275233333333	69.09846616666667
12	222.5	20	26760.008009259258	0	0	PAR	4903657	2023-04-08T00:11:32Z	-53.14275233333333	69.09846616666667
12	222.5	20	26760.018425925926	0	0	PAR	4903657	2023-04-08T00:26:32Z	-53.14275233333333	69.09846616666667
12	222.5	20	26760.028842592594	0	0	PAR	4903657	2023-04-08T00:41:32Z	-53.14275233333333	69.09846616666667
12	222.5	20	26760.039259259258	0	0	PAR	4903657	2023-04-08T00:56:32Z	-53.14275233333333	69.09846616666667
12	223.10000610351562	20	26760.049675925926	0	0	PAR	4903657	2023-04-08T01:11:32Z	-53.14275233333333	69.09846616666667
12	223.10000610351562	20	26760.060092592594	0	0	PAR	4903657	2023-04-08T01:26:32Z	-53.14275233333333	69.09846616666667
12	223.10000610351562	20	26760.070497685185	0	0	PAR	4903657	2023-04-08T01:41:31Z	-53.14275233333333	69.09846616666667
12	223.10000610351562	20	26760.080914351853	0	0	PAR	4903657	2023-04-08T01:56:31Z	-53.14275233333333	69.09846616666667
12	219.89999389648438	20	26760.091331018517	0	0	PAR	4903657	2023-04-08T02:11:31Z	-53.14275233333333	69.09846616666667
12	219.89999389648438	20	26760.101747685185	0	0	PAR	4903657	2023-04-08T02:26:31Z	-53.14275233333333	69.09846616666667
12	219.89999389648438	20	26760.112175925926	0	0	PAR	4903657	2023-04-08T02:41:32Z	-53.14275233333333	69.09846616666667
12	219.89999389648438	20	26760.122592592594	0	0	PAR	4903657	2023-04-08T02:56:32Z	-53.14275233333333	69.09846616666667
12	225.5	20	26760.133009259258	1	0.07142857142857142	PAR	4903657	2023-04-08T03:11:32Z	-53.14275233333333	69.09846616666667
12	225.5	20	26760.143425925926	0	0	PAR	4903657	2023-04-08T03:26:32Z	-53.14275233333333	69.09846616666667
12	225.5	20	26760.153842592594	0	0	PAR	4903657	2023-04-08T03:41:32Z	-53.14275233333333	69.09846616666667
12	225.5	20	26760.164259259258	1	0.07142857142857142	PAR	4903657	2023-04-08T03:56:32Z	-53.14275233333333	69.09846616666667
12	223.8000030517578	20	26760.174664351853	0	0	PAR	4903657	2023-04-08T04:11:31Z	-53.14275233333333	69.09846616666667
